noid;limite_norte;limite_sur;limite_este;limite_oeste;tipo;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal;codigo_municipio;codigo_departamento
3003;M. LA ESPE.- CACHI. Y RÍO CÁCHI.;M. LEBRIJA Y RÍO CÁCHI. DEL SUR;MUNICIPIO EL PLAYÓN;MUNICIPIO SABANA DE TORRES;Rural;Sin Informacion de Barrios;Caribe- Irlanda-  Puerto Limón-  Villa Eva-  Bocas;68615;68
3089;KR 2;LIMITE URBANO;CL 1;LIMITE URBANO;Urbano;6 de Enero- Calle Nueva- Villa María;Sin Informacion de Veredas;70204;70
183;VIA SAN VICENTE - CONCEPCION;M. MARINILLA Y RÍO NEGRO;MUNICIPIO PEÑOL;MUNICIPIO GUARNE;Rural;Sin Informacion de Barrios;Compañia Abajo- El Canelo-  El Carmelo-  La Cabaña-  La Peña-  Piedra Gorda-  Salto Arriba;5674;5
2089;MAR CARIBE;VÍA RIOHACHA-SANTA MARTA;MUNICIPIO RIOHACHA;VÍA CASA DE ALUMINIO-MAR CARIBE;Rural;Sin Informacion de Barrios;Sin Informacion de Veredas;44090;44
877;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Sin Informacion de Veredas;15621;15
2129;MUNICIPIO SANTA ANA;M. ASTREA Y SAN SEBAS. DE BUENAVIS.;MUNICIPIO EL PASO;RÍO (PERMANENTE);Rural;Sin Informacion de Barrios;Casa Blanca- San Jose de Prevension;47545;47
1765;MUNICIPIO UTICA;MUNICIPIO VILLETA;MUNICIPIO NIMAIMA;MUNICIPIO GUADUAS;Rural;Sin Informacion de Barrios;Cune- GALETA-  HATO-  LA ESPERANZA-  LA FLORIDA-  LA UNION-  NACEDEROS-  Salitre Blanco-  Salitre Negro;25592;25
228;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;Urbano;Sin Informacion de Barrios;Alto de Letras;5002;5
745;MPIO. TIPACOQUE;MUNICIPIO SUSACÓN;MUNICIPIO BOAVITA;MUNICIPIO ONZAGA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cañabravo-  Centro-  Centro-  El Espinal-  El Espinal-  La Chorrera-  Llano Grande-  LLanoGrande;15753;15
2248;RÍO GUEJAR- CAÑO TUBO Y CACHAMA;MPIO. SAN J. DEL GAVIARE;MUNICIPIO PUERTO RICO;MUNICIPIO LA MACARENA;Rural;Sin Informacion de Barrios;Angoleta- Argentina-  Bajo Vergel-  Brisas del Guejar-  Cachicamo-  Charcon-  Puerto Nuevo;50711;50
3190;MUNICIPIO NILO;MUNICIPIO CUNDAY;MUNICIPIO ICONONZO;MPIO. CARMEN DE APICALÁ;Rural;Sin Informacion de Barrios;Buenavista- Calcuta-  Cualamaná-  El Águila-  El Águila Baja-  El Floral-  Inalí-  La Primavera;73449;73
68;MUNICIPIO BELMIRA;M. SAN PEDRO DE LOS MI.;M. STA ROSA DE OSOS;MUNICIPIO BELMIRA;Rural;Sin Informacion de Barrios;Cabecera Municipal- Cucurucho-  El Botón-  El Peñol-  El Progreso-  Embalse Río Grande-  La Muñoz-  La Planta-  Las Brisas-  Los Salados-  Orobajo Río Grande-  Pío XII-  Quebrada del Medio-  Río Chico-  Río Grande-  Riochico-  Tesorero-  Verbenal;5264;5
