id_mpio_postal;zona_postal;codigo_postal;id_mpio
1;6875;687519;68615
2;7070;707030;70204
3;540;54018;5674
4;4460;446007;44090
5;1534;153420;15621
6;4740;474048;47545
7;2534;253427;25592
8;550;55030;5002
9;1510;151007;15753
10;5040;504068;50711
11;7340;734007;73449
12;514;51437;5264
13;1910;191077;19142
14;5030;503008;50577
15;500;50032;5001
16;570;57067;5138
17;8800;880007;88001
18;2315;231520;23672
19;5285;528538;52835
20;4180;418049;41359
21;5040;504027;50287
22;4140;414040;41013
23;7335;733508;73200
24;5245;524587;52317
25;1113;111321;11001
26;5470;547018;54670
27;7300;730002;73001
28;1514;151407;15180
29;6825;682548;68264
30;2000;200009;20001
31;514;51430;5264
32;7600;760036;76001
33;1310;131077;13442
34;1910;191088;19142
35;2536;253627;25491
36;820;82020;8078
37;560;56040;5145
38;2740;274017;27361
39;5010;501001;50110
40;5275;527529;52250
41;564;56417;5209
42;2526;252610;25797
43;5255;525550;52720
44;4100;410003;41001
45;5000;500004;50001
46;1538;153880;15638
47;5275;527520;52250
48;1552;155218;15572
49;544;54438;5660
50;1720;172001;17653
51;8550;855030;85440
52;4400;440007;44001
53;9700;970009;97001
54;5450;545077;54418
55;1800;180017;18001
56;6835;683531;68209
57;7050;705070;70670
58;1935;193588;19256
59;510;51037;5308
60;6610;661007;66170
61;550;55068;5390
62;5240;524038;52560
63;6600;660004;66001
64;5400;540004;54001
65;810;81007;8573
66;7040;704050;70400
67;2010;201057;20175
68;8500;850001;85001
69;5220;522068;52260
70;1300;130015;13001
71;6855;685517;68397
72;1325;132527;13430
73;6870;687038;68081
74;2010;201038;20250
75;1524;152429;15047
76;2524;252417;25612
77;7020;702037;70110
78;4180;418047;41359
79;568;56847;5125
80;7355;735538;73675
81;6830;683019;68500
82;800;80006;8001
83;2010;201048;20032
84;1102;110231;11001
85;550;55020;5400
86;2730;273077;27660
87;1532;153207;15798
88;2030;203067;20228
89;2528;252848;25815
90;1520;152001;15464
91;4460;446009;44090
92;6340;634001;63272
93;1940;194028;19397
94;4120;412020;41676
95;538;53838;5667
96;6800;680001;68001
97;1512;151201;15673
98;5250;525068;52435
99;558;55840;5030
100;8550;855039;85440
101;8520;852058;85263
102;4170;417038;41551
103;9710;971007;97889
104;5030;503007;50577
105;2720;272017;27050
106;1506;150617;15092
107;9730;973008;97161
108;2760;276078;27025
109;8560;856017;85010
110;520;52050;5819
111;7335;733578;73671
112;570;57040;5306
113;1700;170003;17001
114;6820;682061;68160
115;548;54848;5483
116;4140;414027;41298
117;7620;762037;76845
118;5455;545557;54109
119;1512;151287;15244
120;1544;154407;15816
121;5470;547010;54670
122;830;83027;8433
123;2534;253460;25148
124;2050;205008;20295
125;6855;685501;68720
126;2330;233049;23555
127;6820;682031;68468
128;6835;683528;68533
129;2528;252847;25815
130;4760;476020;47161
131;5400;540003;54001
132;2720;272020;27160
133;1760;176001;17873
134;2506;250601;25407
135;6840;684051;68296
136;2512;251267;25839
137;7305;730588;73861
138;8530;853059;85230
139;1340;134077;13458
140;7625;762520;76895
141;1109;110931;11001
142;4160;416048;41319
143;4780;478007;47189
144;4440;444008;44098
145;2320;232039;23670
146;2050;205010;20011
147;1340;134040;13810
148;1536;153667;15646
149;6330;633027;63401
150;2512;251227;25372
151;1532;153287;15172
152;7305;730568;73686
153;1105;110511;11001
154;570;57030;5113
155;5060;506027;50270
156;514;51448;5761
157;2305;230520;23686
158;7315;731501;73870
159;6825;682538;68217
160;5250;525038;52612
161;2516;251628;25181
162;1534;153450;15879
163;1315;131547;13140
164;1955;195539;19075
165;8610;861040;86219
166;6805;680507;68780
167;6320;632008;63130
168;2720;272050;27600
169;9130;913057;91530
170;1915;191528;19455
171;4160;416001;41791
172;6850;685041;68773
173;6850;685048;68773
174;7300;730018;73001
175;1550;155047;15681
176;6600;660007;66001
177;510;51030;5308
178;5250;525030;52612
179;2010;201058;20175
180;1905;190509;19130
181;840;84047;8137
182;9150;915010;91669
183;5270;527007;52540
184;7350;735058;73067
185;1108;110841;11001
186;5275;527580;52473
187;2500;250051;25754
188;1700;170008;17001
189;7060;706037;70523
190;5270;527060;52405
191;1548;154827;15442
192;8140;814057;81300
193;7000;700001;70001
194;7020;702057;70235
195;8150;815017;81736
196;7335;733558;73319
197;6805;680547;68820
198;1111;111161;11001
199;6830;683037;68298
200;5265;526520;52418
201;2780;278037;27800
202;4430;443027;44378
203;1310;131040;13433
204;570;57050;5042
205;548;54828;5756
206;2508;250818;25873
207;2325;232557;23660
208;534;53467;5425
209;1506;150610;15092
210;9900;990001;99001
211;574;57457;5284
212;7645;764503;76109
213;1760;176007;17873
214;1915;191501;19573
215;1940;194007;19392
216;6865;686537;68689
217;2000;200002;20001
218;564;56438;5792
219;4130;413008;41615
220;578;57857;5147
221;5210;521060;52203
222;800;80011;8001
223;2300;230017;23001
224;5470;547050;54206
225;1528;152847;15425
226;578;57837;5665
227;5245;524527;52585
228;1320;132047;13894
229;6870;687039;68081
230;2530;253047;25040
231;5400;540007;54001
232;1840;184010;18756
233;5260;526027;52565
234;820;82040;8558
235;500;50040;5001
236;9920;992009;99524
237;6860;686029;68385
238;9420;942057;94885
239;2536;253620;25491
240;2340;234010;23682
241;2530;253040;25040
242;1504;150487;15693
243;1540;154001;15407
244;810;81028;8832
245;550;55057;5679
246;850;85001;8638
247;2520;252008;25053
248;1112;111221;11001
249;4400;440003;44001
250;4440;444010;44279
251;2335;233501;23350
252;1920;192027;19364
253;4410;441048;44847
254;1310;131028;13052
255;5205;520530;52258
256;4440;444037;44650
257;800;80016;8001
258;568;56860;5093
259;4430;443007;44035
260;5235;523540;52573
261;1550;155060;15507
262;1960;196038;19809
263;9440;944058;94663
264;9440;944018;94343
265;5260;526001;52036
266;4440;444030;44650
267;514;51417;5658
268;4720;472007;47053
269;7345;734540;73236
270;7600;760011;76001
271;7050;705077;70670
272;6835;683571;68344
273;1522;152211;15759
274;2020;202037;20750
275;518;51860;5686
276;4460;446008;44090
277;7315;731580;73520
278;7020;702070;70742
279;6840;684021;68872
280;2522;252212;25290
281;7320;732028;73443
282;1512;151240;15248
283;528;52850;5040
284;4750;475008;47660
285;7630;763001;76113
286;2502;250257;25899
287;4720;472028;47288
288;5430;543037;54520
289;5280;528008;52427
290;2010;201037;20250
291;5420;542017;54347
292;9110;911018;91540
293;1940;194037;19397
294;5200;520004;52001
295;2050;205017;20011
296;1502;150267;15814
297;1925;192579;19824
298;2305;230507;23300
299;570;57028;5628
300;7325;732508;73124
301;6610;661048;66440
302;4750;475007;47660
303;9430;943018;94887
304;7630;763038;76670
305;2325;232537;23189
306;7050;705018;70702
307;538;53830;5667
308;5060;506068;50400
309;6310;631028;63690
310;6340;634008;63272
311;1935;193507;19760
312;1770;177060;17616
313;574;57458;5284
314;4780;478020;47980
315;2345;234538;23855
316;2720;272048;27135
317;8640;864007;86573
318;530;53010;5885
319;810;81001;8573
320;7605;760507;76892
321;7040;704018;70124
322;7625;762501;76497
323;2500;250020;25286
324;564;56470;5642
325;6810;681002;68276
326;4430;443049;44078
327;518;51857;5237
328;8510;851070;85225
329;820;82001;8296
330;2000;200008;20001
331;574;57440;5842
332;540;54057;5318
333;5250;525001;52227
334;6835;683587;68522
335;840;84040;8137
